word1,word2,cosine_similarity
admission,ticket,0.06621283550415001
alcohol,chemistry,0.15041230743941664
aluminum,metal,0.1951880974794997
announcement,effort,0.2573130485804874
announcement,news,0.2542245804857394
announcement,production,0.02466739431739891
announcement,warning,0.289268587068952
architecture,century,-0.02740124669865216
arrival,hotel,0.23244964080596536
atmosphere,landscape,0.39637495015664986
attempt,peace,-0.013064437875543563
baby,mother,0.30402755811581994
bank,money,-0.003361796303394505
baseball,season,0.13376930392976236
bed,closet,0.3842546095938377
bird,cock,0.17375132937607274
bird,crane,0.16064612637003609
bishop,rabbi,0.16380712689828847
board,recommendation,0.348038593027075
book,library,0.14919909779613552
book,paper,0.41525528329101047
boy,lad,0.24765025384136102
bread,butter,0.4771789050944645
brother,monk,-0.018935901963013094
calculation,computation,-0.13676355000094328
canyon,landscape,0.07342511883032407
car,automobile,0.09603889245571297
car,flight,0.21644240133514503
cell,phone,0.0632912495430751
cemetery,woodland,-0.13478025412301342
century,nation,0.287095950774011
century,year,0.20766841184429244
championship,tournament,0.015917025826120933
change,attitude,0.04456475332307545
chord,smile,0.26926755586956086
closet,clothes,-0.06831652821757181
coast,forest,0.11012663380367399
coast,hill,0.41175617658321645
coast,shore,0.47629972938308146
company,stock,0.26977953987033426
competition,price,0.28983262601090753
computer,keyboard,-0.0071273943054442805
computer,laboratory,0.05986271885586393
computer,news,0.0792717050051589
concert,virtuoso,0.08804080568567092
consumer,confidence,0.04788774086764799
consumer,energy,0.16160025329137817
country,citizen,0.010701695869469743
crane,implement,0.05140118893685911
credit,card,0.01703861599215035
credit,information,0.32742433420332356
cup,article,-0.018122654666105617
cup,coffee,0.2264433784441186
cup,drink,0.5338904475775805
cup,entity,0.0307523911242316
cup,food,0.11994225019820039
cup,liquid,0.2303764109264387
cup,object,0.03573861023031993
cup,substance,0.18622638842529396
currency,market,0.1852743345422981
day,dawn,0.0303100717555658
day,summer,0.31029427399055665
death,row,0.16639121683500865
delay,news,0.12359400176203926
development,issue,0.19054832719246342
direction,combination,0.183095590208543
disability,death,-0.11074405410165201
disaster,area,0.11504989782542112
discovery,space,0.027327134094819718
dividend,calculation,-0.06766926086806468
dividend,payment,-0.022495740868732884
doctor,liability,0.1762785059531604
doctor,nurse,0.13444242219097371
doctor,personnel,0.19111877377521458
dollar,buck,0.03938341579118367
dollar,loss,0.2734547349252694
dollar,profit,0.27049221502085086
dollar,yen,0.33104553397970443
drink,car,0.4042596844471019
drink,ear,0.34698147207123475
drink,eat,0.1710138282603816
drink,mother,0.10723283995685552
drink,mouth,0.07069608086598476
drug,abuse,0.21293647858178316
energy,crisis,-0.05962330322798159
energy,laboratory,0.018972848301068795
energy,secretary,0.20900269505961402
equipment,maker,0.15454125163839055
exhibit,memorabilia,-0.0699175955650761
experience,music,0.17286642849060255
family,planning,0.059878803985466154
fbi,fingerprint,0.2632631164490104
fbi,investigation,-0.037719221692341084
fertility,egg,-0.025590801687625724
fighting,defeating,-0.0351375981592133
five,month,0.10035660696915881
focus,life,0.0660582723793053
food,fruit,0.2458547639182557
food,preparation,0.5653595801880641
food,rooster,0.09726238351986234
football,basketball,0.03104047077396418
football,soccer,0.262267279871
football,tennis,0.270076938846438
forest,graveyard,0.042156192320116234
fuck,sex,0.05826650528987632
furnace,stove,0.1546572705831655
game,defeat,-0.002904533852480069
game,round,0.3501674155761224
game,series,0.5213372543551256
game,team,0.3791593018563773
game,victory,0.21008277885660093
gender,equality,-0.024926394474944855
glass,magician,0.31791819283424855
glass,metal,0.3107153317599725
government,crisis,0.2761967243902776
governor,interview,-0.047865017354263524
governor,office,0.21141632110218922
grocery,money,0.03917802662007492
harvard,yale,0.4399213791220107
holy,sex,0.09903830305143219
hotel,reservation,0.17554613851410897
hundred,percent,0.28496265267108933
image,surface,0.46275845508425
impartiality,interest,0.05836459755398205
investigation,effort,0.368701521334098
investor,earning,-0.05399636331167288
jaguar,car,0.1600625402338916
jaguar,cat,-0.010309065277746944
japanese,american,0.223606409229787
jerusalem,israel,0.19867807959233158
journal,association,0.13568290952085996
journey,car,0.0067257291116648195
journey,voyage,0.21692238687291443
king,cabbage,0.01624632536480694
king,queen,0.43140104247542455
lad,brother,0.020545892168844827
lad,wizard,-0.006933981608054691
law,lawyer,0.10593640078391699
lawyer,evidence,-0.03313454591220568
liability,insurance,0.43659525783926606
life,death,0.28653723347019605
life,lesson,0.10993669354881005
life,term,0.05113764198659388
line,insurance,0.031885336288447634
liquid,water,0.4020260217253533
listing,category,0.16351975972314528
listing,proximity,0.10006154453283615
love,sex,-0.015132941730695959
lover,quarrel,0.09115210232091588
luxury,car,0.2565937044933827
magician,wizard,-0.06989956876024116
man,governor,0.014622643467755967
man,woman,0.8311183704045493
mars,scientist,0.048566696148382285
mars,water,0.2594615614381429
media,gain,-0.007174380462256999
media,radio,0.11254263050051552
media,trading,0.30114493440069695
mexico,brazil,0.2479515650467301
midday,noon,0.18346420390314352
mile,kilometer,0.5340069808804914
minister,party,0.46958378938569495
ministry,culture,0.17475297517699226
minority,peace,-0.02256837088043947
money,bank,-0.003361796303394505
money,cash,0.25114905960365197
money,cash,0.25114905960365197
money,currency,0.20859222456762183
money,deposit,-0.06339354176451115
money,dollar,0.13167215369362273
money,laundering,0.055980073061772107
money,operation,0.2611488675872073
money,possession,0.0801261041351019
money,property,0.29972353361301307
money,wealth,0.12121970540868365
money,withdrawal,0.39881145391889694
monk,oracle,0.27849909154657343
monk,slave,0.06755049725726892
month,hotel,0.023629963750310175
morality,importance,0.10611302528086718
morality,marriage,-0.04378832638019125
movie,critic,0.014966730028182643
movie,star,0.30593067971797944
movie,theater,0.07945835025109929
murder,manslaughter,0.27782387772930023
museum,theater,0.3291540552737603
music,project,0.18673511845256155
nature,environment,0.2373351662486901
nature,man,-0.002299610323941295
network,hardware,-0.08786798184928596
news,report,0.34296092987509214
noon,string,0.0379330443580229
observation,architecture,0.0751564843229828
oil,stock,0.2523133405917235
opera,industry,0.19134003977065928
opera,performance,0.0881274304992884
peace,atmosphere,0.0382211808614077
peace,insurance,0.0652745741353016
peace,plan,0.0710487348101827
phone,equipment,0.11178182629343103
physics,chemistry,0.1271418382164058
physics,proton,0.3868817666288487
plane,car,0.4376775165564131
